ticker,date,open,high,low,close,volume,change_percent
TSLA,2019-02-01,20.36,21.62,19.25,21.33,1930000000,4.19
TSLA,2019-01-01,20.41,23.47,18.62,20.47,2630000000,-7.75
TSLA,2018-12-01,24.0,25.3,19.61,22.19,2200000000,-5.04
TSLA,2018-11-01,22.55,24.45,21.67,23.37,2000000000,3.9
TSLA,2018-10-01,20.38,23.14,16.52,22.49,4300000000,27.4
TSLA,2018-09-01,19.8,21.0,16.82,17.65,2940000000,-12.23
TSLA,2018-08-01,19.87,25.83,19.21,20.11,4160000000,1.18
TSLA,2018-07-01,24.0,24.32,19.08,19.88,2590000000,-13.07
TSLA,2018-06-01,19.06,24.92,18.92,22.86,3200000000,20.45
TSLA,2018-05-01,19.57,20.87,18.23,18.98,2330000000,-3.12
TSLA,2018-04-01,17.08,20.63,16.31,19.59,2860000000,10.43
TSLA,2018-03-01,23.0,23.24,16.55,17.74,2360000000,-22.42
TSLA,2018-02-01,23.4,24.0,19.65,22.87,1640000000,-3.18
TSLA,2018-01-01,20.8,24.03,20.38,23.62,1860000000,13.8
TSLA,2017-12-01,20.36,23.16,20.0,20.76,1650000000,0.81
TSLA,2017-11-01,22.15,22.17,19.51,20.59,2230000000,-6.84
TSLA,2017-10-01,22.83,24.2,21.11,22.1,1850000000,-2.81
TSLA,2017-09-01,23.74,25.97,22.36,22.74,1670000000,-4.16
TSLA,2017-08-01,21.53,24.67,20.75,23.73,2049999999,10.03
TSLA,2017-07-01,24.68,24.76,20.21,21.56,2720000000,-10.55
TSLA,2017-06-01,22.93,25.8,22.28,24.11,2790000000,6.04
TSLA,2017-05-01,20.99,22.86,19.38,22.73,2220000000,8.58
TSLA,2017-04-01,19.13,20.99,18.97,20.94,1750000000,12.85
TSLA,2017-03-01,16.95,18.8,16.19,18.55,1610000000,11.32
TSLA,2017-02-01,16.87,19.16,16.13,16.67,1790000000,-0.77
TSLA,2017-01-01,14.32,17.23,14.06,16.8,1510000000,17.89
TSLA,2016-12-01,12.55,14.92,12.0,14.25,1320000000,12.82
TSLA,2016-11-01,13.2,13.29,11.88,12.63,1480000000,-4.21
TSLA,2016-10-01,14.15,14.38,12.8,13.18,1380000000,-3.09
TSLA,2016-09-01,13.93,14.07,12.9,13.6,1060000000,-3.76
TSLA,2016-08-01,15.7,15.78,13.91,14.13,934370000,-9.7
